id,winners,losers
NA1_5355429670,"Karma_Top,Malphite_Jungle,Poppy_Mid,XinZhao_ADC,Maokai_Support","MasterYi_Top,Viktor_Jungle,Blitzcrank_Mid,Senna_ADC,Quinn_Support"
NA1_5334007084,"Tryndamere_Top,Pantheon_Jungle,Kennen_Mid,KogMaw_ADC,Soraka_Support","Zilean_Top,Shen_Jungle,Orianna_Mid,Kaisa_ADC,Nautilus_Support"
NA1_5380028250,"Sett_Top,LeeSin_Jungle,Ahri_Mid,Vayne_ADC,Janna_Support","Shen_Top,Sejuani_Jungle,Velkoz_Mid,Aphelios_ADC,Zilean_Support"
NA1_5378532145,"Renekton_Top,Nocturne_Jungle,Swain_Mid,Jinx_ADC,Sona_Support","Garen_Top,Ambessa_Jungle,Sylas_Mid,Twitch_ADC,Soraka_Support"
NA1_5361924451,"DrMundo_Top,Ekko_Jungle,TwistedFate_Mid,Ashe_ADC,Leblanc_Support","Aatrox_Top,JarvanIV_Jungle,Orianna_Mid,Samira_ADC,Pyke_Support"
NA1_5328863886,"Kayle_Top,Zilean_Jungle,Nami_Mid,Caitlyn_ADC,MissFortune_Support","Samira_Top,Corki_Jungle,Xerath_Mid,Annie_ADC,Shaco_Support"
NA1_5372934909,"Rumble_Top,LeeSin_Jungle,Galio_Mid,Sivir_ADC,Alistar_Support","Yorick_Top,Taliyah_Jungle,Annie_Mid,Ezreal_ADC,Soraka_Support"
NA1_5339563866,"Akali_Top,Shaco_Jungle,Kassadin_Mid,Yunara_ADC,Alistar_Support","Quinn_Top,Rengar_Jungle,Sylas_Mid,Zyra_ADC,Ashe_Support"
NA1_5370465039,"Irelia_Top,XinZhao_Jungle,Malzahar_Mid,Aphelios_ADC,Thresh_Support","Jax_Top,Ekko_Jungle,Sylas_Mid,Kaisa_ADC,Karma_Support"
NA1_5367152357,"Urgot_Top,Kindred_Jungle,Hwei_Mid,MissFortune_ADC,Taric_Support","Chogath_Top,Viego_Jungle,Viktor_Mid,Aphelios_ADC,Sona_Support"
NA1_5365036583,"Gangplank_Top,Rengar_Jungle,Zilean_Mid,Lucian_ADC,Nami_Support","Akshan_Top,Nilah_Jungle,Zed_Mid,Viktor_ADC,Seraphine_Support"
NA1_5363368765,"Kled_Top,Viego_Jungle,Ezreal_Mid,Lux_ADC,Zilean_Support","Velkoz_Top,JarvanIV_Jungle,Sylas_Mid,Sivir_ADC,Seraphine_Support"
NA1_5348715391,"Qiyana_Top,Soraka_Jungle,Lillia_Mid,Aurora_ADC,Lucian_Support","Zed_Top,Yunara_Jungle,Kayle_Mid,Vex_ADC,Swain_Support"
NA1_5352180705,"Warwick_Top,FiddleSticks_Jungle,Katarina_Mid,Jhin_ADC,Pyke_Support","Gangplank_Top,Kindred_Jungle,Galio_Mid,Aphelios_ADC,Nautilus_Support"
NA1_5377753144,"Gangplank_Top,MasterYi_Jungle,Viego_Mid,Jinx_ADC,Twitch_Support","Rumble_Top,Nami_Jungle,Malzahar_Mid,Sivir_ADC,Rell_Support"
NA1_5376495087,"Fiora_Top,Viego_Jungle,Ekko_Mid,Karthus_ADC,Sona_Support","Gwen_Top,Elise_Jungle,AurelionSol_Mid,Twitch_ADC,Soraka_Support"
NA1_5366920138,"Renekton_Top,Belveth_Jungle,Ekko_Mid,Cassiopeia_ADC,Nami_Support","Shen_Top,Warwick_Jungle,Vladimir_Mid,Twitch_ADC,Yuumi_Support"
NA1_5362969162,"Darius_Top,Vi_Jungle,Ryze_Mid,Draven_ADC,Swain_Support","Aatrox_Top,Evelynn_Jungle,Gragas_Mid,Corki_ADC,Thresh_Support"
NA1_5379808136,"Zed_Top,MasterYi_Jungle,Aurora_Mid,Jinx_ADC,Yuumi_Support","Zac_Top,Ekko_Jungle,Azir_Mid,Ashe_ADC,Poppy_Support"
NA1_5377923376,"Sett_Top,Gragas_Jungle,Anivia_Mid,Seraphine_ADC,Nautilus_Support","Briar_Top,Zed_Jungle,Yasuo_Mid,Caitlyn_ADC,Thresh_Support"
NA1_5373414329,"Rumble_Top,JarvanIV_Jungle,Viktor_Mid,Caitlyn_ADC,Morgana_Support","Tryndamere_Top,Nocturne_Jungle,Hwei_Mid,Ezreal_ADC,Rakan_Support"
NA1_5345269112,"Volibear_Top,Taliyah_Jungle,Lucian_Mid,Tristana_ADC,Thresh_Support","Zac_Top,Udyr_Jungle,Mel_Mid,Varus_ADC,Nautilus_Support"
NA1_5378749047,"Shen_Top,Zed_Jungle,Zoe_Mid,Caitlyn_ADC,Veigar_Support","Ambessa_Top,Talon_Jungle,Sylas_Mid,Kaisa_ADC,Nautilus_Support"
NA1_5379022776,"Cassiopeia_Top,Pantheon_Jungle,Shen_Mid,Sivir_ADC,Bard_Support","Mordekaiser_Top,LeeSin_Jungle,Sylas_Mid,Aphelios_ADC,Blitzcrank_Support"
NA1_5378967824,"Yone_Top,Vi_Jungle,Ekko_Mid,Twitch_ADC,Yuumi_Support","Rumble_Top,Hecarim_Jungle,Lucian_Mid,Zeri_ADC,Blitzcrank_Support"
NA1_5374482636,"Teemo_Top,Kayn_Jungle,Morgana_Mid,Kaisa_ADC,Alistar_Support","Aatrox_Top,Ekko_Jungle,Akali_Mid,Caitlyn_ADC,Thresh_Support"
NA1_5375981448,"Akshan_Top,MonkeyKing_Jungle,Yasuo_Mid,Jinx_ADC,MissFortune_Support","Warwick_Top,Sylas_Jungle,Yone_Mid,Ashe_ADC,Velkoz_Support"
NA1_5375359783,"Shen_Top,Thresh_Jungle,Syndra_Mid,Ezreal_ADC,Aatrox_Support","DrMundo_Top,Viktor_Jungle,Lux_Mid,Vayne_ADC,Zed_Support"
NA1_5370104488,"Warwick_Top,Zed_Jungle,Yasuo_Mid,Lucian_ADC,Nami_Support","Tryndamere_Top,LeeSin_Jungle,Malzahar_Mid,Jhin_ADC,Neeko_Support"
NA1_5355832363,"Fiora_Top,Vi_Jungle,Neeko_Mid,Aphelios_ADC,Shaco_Support","Jayce_Top,Rumble_Jungle,Diana_Mid,Sivir_ADC,Seraphine_Support"
NA1_5360407908,"Olaf_Top,Naafiri_Jungle,Rakan_Mid,Ezreal_ADC,Xerath_Support","Briar_Top,RekSai_Jungle,Zoe_Mid,Kaisa_ADC,Thresh_Support"
NA1_5377614012,"Darius_Top,TahmKench_Jungle,Taliyah_Mid,Sett_ADC,Nidalee_Support","Caitlyn_Top,Samira_Jungle,JarvanIV_Mid,MissFortune_ADC,AurelionSol_Support"
NA1_5379171014,"Mordekaiser_Top,Urgot_Jungle,Aurora_Mid,Ezreal_ADC,Zilean_Support","Yasuo_Top,Shaco_Jungle,Kayle_Mid,Smolder_ADC,Chogath_Support"
NA1_5379864749,"Lissandra_Top,Bard_Jungle,Ekko_Mid,Zeri_ADC,Amumu_Support","Kennen_Top,Swain_Jungle,Gangplank_Mid,Syndra_ADC,Janna_Support"
NA1_5376511482,"KSante_Top,Nunu_Jungle,Renekton_Mid,Lucian_ADC,Nami_Support","Riven_Top,Viego_Jungle,Vladimir_Mid,Irelia_ADC,Milio_Support"
NA1_5370603603,"Sona_Top,Zed_Jungle,Vladimir_Mid,Caitlyn_ADC,Amumu_Support","LeeSin_Top,Orianna_Jungle,Lux_Mid,Graves_ADC,Nautilus_Support"
NA1_5365121090,"Morgana_Top,Naafiri_Jungle,Leblanc_Mid,Lucian_ADC,Nami_Support","Varus_Top,Belveth_Jungle,Ryze_Mid,Caitlyn_ADC,Lux_Support"
NA1_5378235828,"Shen_Top,Kayn_Jungle,TwistedFate_Mid,MissFortune_ADC,Maokai_Support","Sion_Top,Belveth_Jungle,Viktor_Mid,Kalista_ADC,Lulu_Support"
NA1_5370016052,"Shen_Top,Rengar_Jungle,Viktor_Mid,Smolder_ADC,Karma_Support","Pantheon_Top,Tryndamere_Jungle,Ryze_Mid,Ezreal_ADC,Senna_Support"
