id,winners,losers
NA1_5376495087,"Fiora,Viego,Ekko,Karthus,Sona","Gwen,Elise,AurelionSol,Twitch,Soraka"
NA1_5366920138,"Renekton,Belveth,Ekko,Cassiopeia,Nami","Shen,Warwick,Vladimir,Twitch,Yuumi"
NA1_5362969162,"Darius,Vi,Ryze,Draven,Swain","Aatrox,Evelynn,Gragas,Corki,Thresh"
NA1_5379808136,"Zed,MasterYi,Aurora,Jinx,Yuumi","Zac,Ekko,Azir,Ashe,Poppy"
NA1_5377923376,"Sett,Gragas,Anivia,Seraphine,Nautilus","Briar,Zed,Yasuo,Caitlyn,Thresh"
NA1_5373414329,"Rumble,JarvanIV,Viktor,Caitlyn,Morgana","Tryndamere,Nocturne,Hwei,Ezreal,Rakan"
NA1_5345269112,"Volibear,Taliyah,Lucian,Tristana,Thresh","Zac,Udyr,Mel,Varus,Nautilus"
NA1_5378749047,"Shen,Zed,Zoe,Caitlyn,Veigar","Ambessa,Talon,Sylas,Kaisa,Nautilus"
NA1_5379116267,"Varus,Yunara,Yone,Blitzcrank,Vayne,Sona,Sett,TahmKench","Kalista,Kennen,Diana,Illaoi,Brand,Kalista,Rumble,Anivia"
NA1_5379022776,"Cassiopeia,Pantheon,Shen,Sivir,Bard","Mordekaiser,LeeSin,Sylas,Aphelios,Blitzcrank"
NA1_5378967824,"Yone,Vi,Ekko,Twitch,Yuumi","Rumble,Hecarim,Lucian,Zeri,Blitzcrank"
NA1_5374482636,"Teemo,Kayn,Morgana,Kaisa,Alistar","Aatrox,Ekko,Akali,Caitlyn,Thresh"
NA1_5375981448,"Akshan,MonkeyKing,Yasuo,Jinx,MissFortune","Warwick,Sylas,Yone,Ashe,Velkoz"
NA1_5375359783,"Shen,Thresh,Syndra,Ezreal,Aatrox","DrMundo,Viktor,Lux,Vayne,Zed"
NA1_5370104488,"Warwick,Zed,Yasuo,Lucian,Nami","Tryndamere,LeeSin,Malzahar,Jhin,Neeko"
NA1_5379400340,"Lissandra,Malzahar,Caitlyn,Briar,Elise,MasterYi,Lucian,Mordekaiser","Vayne,Sylas,Jinx,Urgot,Teemo,Elise,DrMundo,Zed"
NA1_5355832363,"Fiora,Vi,Neeko,Aphelios,Shaco","Jayce,Rumble,Diana,Sivir,Seraphine"
NA1_5360407908,"Olaf,Naafiri,Rakan,Ezreal,Xerath","Briar,RekSai,Zoe,Kaisa,Thresh"
NA1_5377614012,"Darius,TahmKench,Taliyah,Sett,Nidalee","Caitlyn,Samira,JarvanIV,MissFortune,AurelionSol"
NA1_5379171014,"Mordekaiser,Urgot,Aurora,Ezreal,Zilean","Yasuo,Shaco,Kayle,Smolder,Chogath"
NA1_5379864749,"Lissandra,Bard,Ekko,Zeri,Amumu","Kennen,Swain,Gangplank,Syndra,Janna"
NA1_5376511482,"KSante,Nunu,Renekton,Lucian,Nami","Riven,Viego,Vladimir,Irelia,Milio"
NA1_5370603603,"Sona,Zed,Vladimir,Caitlyn,Amumu","LeeSin,Orianna,Lux,Graves,Nautilus"
NA1_5365121090,"Morgana,Naafiri,Leblanc,Lucian,Nami","Varus,Belveth,Ryze,Caitlyn,Lux"
NA1_5378235828,"Shen,Kayn,TwistedFate,MissFortune,Maokai","Sion,Belveth,Viktor,Kalista,Lulu"
NA1_5370016052,"Shen,Rengar,Viktor,Smolder,Karma","Pantheon,Tryndamere,Ryze,Ezreal,Senna"
NA1_5368597619,"Ekko,MasterYi,Smolder,Seraphine,Pantheon","Kennen,Khazix,Yasuo,Twitch,Nami"
NA1_5370850664,"Gragas,LeeSin,Zed,Aphelios,Senna","Jax,Graves,Lissandra,Kaisa,Karma"
NA1_5372836124,"DrMundo,Vi,Syndra,Sivir,Bard","Rumble,Urgot,Sylas,Twitch,Alistar"
NA1_5378898344,"Vayne,Zed,Aurora,Yasuo,Senna","Azir,Viego,Singed,Ezreal,Taric"
NA1_5377701240,"Sion,Khazix,Katarina,Caitlyn,Maokai","Vayne,Zyra,Sylas,Ezreal,Karma"
NA1_5359717711,"Aurora,Kayn,Zoe,MissFortune,Pyke","Pantheon,Zac,Camille,Smolder,Nami"
NA1_5379145865,"TahmKench,Caitlyn,Ornn,Kalista,Vladimir,Nautilus,Poppy,Singed","Vi,Lulu,Singed,Aphelios,Singed,Seraphine,Jhin,Soraka"
NA1_5380062631,"Gwen,Jax,Talon,Smolder,Zoe","Tryndamere,Viego,Sylas,Vayne,Janna"
NA1_5365252340,"Jinx,Volibear,Akshan,Lillia,Irelia,Shen,Nocturne,Ivern","Ziggs,Smolder,Karthus,Anivia,Milio,Nami,Veigar,Nunu"
NA1_5379414686,"Olaf,Nidalee,Hwei,Jinx,Nautilus","Sejuani,Vi,Taliyah,Lucian,Braum"
NA1_5355810011,"Aatrox,Ambessa,Veigar,Aphelios,Thresh","Sion,JarvanIV,Akali,Corki,Braum"
NA1_5371682655,"Garen,Nunu,Viktor,Twitch,Janna","Kled,MasterYi,Ahri,Senna,Braum"
NA1_5373596778,"Illaoi,Talon,Taliyah,Sivir,Shaco","Olaf,Sejuani,Morgana,Samira,Alistar"
NA1_5371763708,"Ahri,Morgana,Nocturne,Volibear,Kennen","Nidalee,Aphelios,MasterYi,Singed,AurelionSol"
NA1_5370066407,"Shen,Hecarim,Sylas,Jinx,Janna","Karma,Diana,Cassiopeia,Yasuo,Teemo"
NA1_5379008486,"Jax,Sylas,Yone,Smolder,Thresh","DrMundo,Viego,Viktor,Jinx,Lulu"
NA1_5379271313,"Vayne,Zilean,Amumu,Kayle,Pantheon","Varus,Zed,Ornn,Lux,Milio"
NA1_5370838341,"Sett,Briar,Syndra,Sivir,Leona","Yone,XinZhao,Fizz,Caitlyn,Karma"
NA1_5354993489,"Singed,Shaco,Katarina,Aphelios,Seraphine","Fiora,Naafiri,Ekko,Ezreal,Zilean"
NA1_5356106527,"Urgot,Viego,Viktor,Aphelios,Rell","Jax,LeeSin,Azir,Mel,Nami"
NA1_5375140669,"Garen,Viego,Lissandra,Kaisa,Bard","Yone,Diana,Karma,Irelia,Milio"
